"Partner Countries","1998-01-01+Sum(Export Value)","2018-01-01+Sum(Export Value)","2015-01-01+Sum(Export Value)","2001-01-01+Sum(Export Value)","2002-01-01+Sum(Export Value)","2007-01-01+Sum(Export Value)","2009-01-01+Sum(Export Value)","2010-01-01+Sum(Export Value)","2011-01-01+Sum(Export Value)","2013-01-01+Sum(Export Value)","2014-01-01+Sum(Export Value)","2016-01-01+Sum(Export Value)","2019-01-01+Sum(Export Value)","2020-01-01+Sum(Export Value)","2021-01-01+Sum(Export Value)","2022-01-01+Sum(Export Value)","2023-01-01+Sum(Export Value)","2024-01-01+Sum(Export Value)","1992-01-01+Sum(Export Value)","1997-01-01+Sum(Export Value)","1989-01-01+Sum(Export Value)","2003-01-01+Sum(Export Value)","2008-01-01+Sum(Export Value)","2017-01-01+Sum(Export Value)","1986-01-01+Sum(Export Value)","1987-01-01+Sum(Export Value)","1988-01-01+Sum(Export Value)","1993-01-01+Sum(Export Value)","Cluster","PCA dimension 0"
"Afghanistan",0.0056011005671289795,0.0028299132309673363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cluster_1",0.18541693121580524
"Albania",0,0,0.00014910841936304392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cluster_1",0.1869477817008951
"Algeria",0,0.00883412066809909,0.02092780521177781,0.041006600660066006,0.06898204549539654,0.00595627352904788,0.007012063247945404,0.022462091747567914,0.0118672624716138,0.0038347871437482747,0.0007823401311295473,0.005040849285137511,0.009666284608810298,0.008796444488218058,0.0034841697504815077,0.003881712127219985,0.003367791430986282,0.009217956826157283,0,0,0,0,0,0,0,0,0,0,"cluster_1",0.13773469167874414
"Angola",0,0,0,0,0,0.0034111596175259375,0.00018263084538857116,0,0.0001922936048641125,0.0006851486363496917,0,0,0.0013118055877617814,0,0.00026690327281121283,0.00030608482723598444,0,0.000016790449592271917,0.000030240716100157252,0.000856318730845502,0,0,0,0,0,0,0,0,"cluster_1",0.1855240640417941
"Argentina",0.06509349205457915,0,0.0057362886037312195,0.014521452145214522,0.0017575043438317589,0.010949292140193358,0.006949584274522997,0.002813443918011092,0.013826825873562376,0.0448925748294798,0.008757538781300903,0.0010627939011067307,0,0,0.00002164080590361185,0,0,0,0,0.04054744306231596,0.0032105871067520213,0.03489696003643402,0.026599223825927703,0.000041257742273198454,0,0,0,0,"cluster_1",0.12319495581035018
"Armenia",0,0.034505476406159925,0.02883055143801914,0,0,0,0.0014850771375018023,0.007783693137621352,0.011079774375503625,0.026362883350888138,0.014403232115646218,0.015443167244573222,0.06482837210226783,0.010686233472040972,0.01717558628549994,0,0.02110395943046616,0.019907876399903737,0,0,0,0,0.006191950464396285,0.014254549955390066,0,0,0,0,"cluster_1",0.13233794935297102
"Australia",0.047068897748329494,0.010413781228242235,0.008490408820201559,0.056724422442244224,0.07621177927343173,0.03542833913642871,0.014192339116643438,0.03067007445271697,0.0019595634019485752,0.0016975324422992362,0.002323666956638506,0.0002493706360138698,0.011368981760602106,0.001594317090586758,0.00042560251610436635,0.00020869420038817122,0,0,0.06601548324664329,0.04382248662940929,0.11650124312366633,0.07497438232950017,0.0223782322417477,0.0030272868392959367,0.09373195175811108,0.09093596230417471,0.1167291822955739,0,"cluster_1",0.017439699048295763
"Austria",0.0277107080689539,0,0,0.036489273927392735,0.0619520281200695,0.017904169391470333,0.0015043014370163888,0.0012021537746618313,0,0,0,0,0,0.001809765346071455,0,0,0.0005721344515961252,0.0009178779110441981,0.035850368936736425,0.031323237786190734,0.02683972514242086,0.16930433792553798,0.00228491693193215,0,0.02029896381858332,0.04207744336063151,0.02565641410352588,0,"cluster_1",0.07571049594162448
"Azerbaijan",0,0,0.00034207225618580663,0,0.0009586387329991411,0.0017939518195797027,0.0044648435622627,0.002535635272606047,0.0030675408394989375,0.0010328360040495353,0,0,0,0,0.0017529052781925598,0.02276853726234948,0.0006241466744685002,0.0007163925159369352,0,0,0,0,0,0.0009540852900677142,0,0,0,0,"cluster_1",0.17964530894605138
"Bahrain",0,0,0,0,0,0.00016790682055179483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cluster_1",0.18694743433322317
"Bangladesh",0.005530911336964456,0.007771031570751574,0.006315180114199508,0.0003094059405940594,0.0002796029637914162,0.00005302320649004048,0,0.007692773944579701,0.05559116548238224,0.009070549857345919,0.02097722456080943,0.004714292499881252,0.0020869634350755614,0,0,0.010566883012987737,0,0.0034476389829465,0,0.0037107145003305087,0,0.00009488026111047858,0,0.0013976060195045976,0.000016986580601324952,0,0,0,"cluster_1",0.1546819076674231
"Barbados",0.000042113538098714134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025539330569076374,0,0,0,0,0,0,0,0,"cluster_1",0.1869176066114141
"Belarus",0,0.0029721575468096098,0.008692143740516266,0.0029290429042904288,0,0,0.003186427644542702,0.007303841841012638,0.009724562303127975,0.0005828876458497378,0.01016458334549658,0.012266660333444165,0.00587662402194293,0.027183414177726344,0.031783130270437936,0.002699111658353681,0,0,0,0,0,0,0,0.004595081045677478,0,0,0,0,"cluster_1",0.16366272863633585
"Belgium",0,1,1,0.09449257425742574,0.13772443130754328,0.6016985100478977,1,1,0.8542780748663101,1,0.9999999999999999,1,1,1,1,1,1,1,0,0,0,0.33014535656002125,1,1,0,0,0,0,"cluster_2",-2.988603007430034
"Belgium-Luxembourg",0.07594474703801449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15776581589452038,0.10697974881317228,0.11025625966602064,0,0,0,0.2239001189060642,0.2012066837062925,0.21416782767120351,0,"cluster_1",0.017291066488811794
"Benin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00040396171020075453,0.00036869308735243585,0,0,0,0,0,0,0,0,0,0.0027993670996122617,0.0009216589861751152,0,"cluster_1",0.1863153505359737
"Bhutan",0,0,0,0,0,0,0,0,0,0,0.0002919179593766968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cluster_1",0.1869285963805288
"Bolivia (Plurinational State of)",0.000014037846032904711,0,0,0,0,0.00003534880432669365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cluster_1",0.18697120320917246
"Bosnia and Herzegovina",0.015357403559997753,0,0.003473349062809729,0,0,0,0,0.01008697936134318,0.01984286865431104,0,0.00033862483287696823,0.00030874459696955307,0,0,0,0,0,0,0,0.009840153836908838,0,0,0.007918719748833559,0.001970057193545226,0,0,0,0,"cluster_1",0.1713833002822375
"Botswana",0.011019709135830199,0.0090137976986367,0.014077589004569735,0.011613036303630362,0.013420942261987976,0.00896092189681684,0.007194694093333975,0.01240036771762519,0.027049300417551825,0.06684800948981992,0.018700264477671195,0.02602954448297155,0.01636444344329091,0.00937507694580553,0.010596781290801936,0.006267782484991409,0.006247968272544048,0.006346789945878784,0.008331317285593323,0.01604470885163151,0.008985728548775475,0.013397092868799575,0.014677538917716828,0.011320093036208826,0.040139289960930864,0.009024046737259402,0.007994855856821349,0,"cluster_1",0.10514938750370667
"Brazil",0.02536638778145881,0.040247654840424335,0.0015524817780740456,0.023184818481848186,0.07750993589103473,0.013379522437653547,0.015038208295285242,0.00007576599420137592,0.025108050692256977,0.032754195257135264,0.018688587759296126,0.005017099700755237,0.007658824542689996,0.004075049860881984,0.00714146594819191,0.0034295413597122803,0.005714842988102204,0.04087914794065136,0,0.001547382969773451,0,0.028729743064252914,0.025404439018008984,0.004316591285333389,0.00015287922541192456,0,0,0,"cluster_1",0.10201069825885685
"Brunei Darussalam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004133781014258929,0,0,0,0,0,"cluster_1",0.18613504947971174
"Bulgaria",0.003144477511370655,0.0021037185658778347,0.004482023664383262,0.015655940594059406,0.0024565117533102993,0.002553951112603616,0.007521507185081944,0.04435846407176555,0.06772397626547505,0.08686048533066092,0.012721784669636445,0.004358048734147153,0.007168553767465896,0.0006709674242237708,0.001110894703052075,0.0038608427071811675,0.013302125999609908,0.029590368998113875,0,0.002989603990144823,0,0.00278947967664807,0.005189028910303929,0.0004125774227319845,0,0,0,0,"cluster_1",0.11286824349601661
"Burkina Faso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010065500871341865,0,0,0,0,0,0,0,0,"cluster_1",0.18676227611585594
"Burundi",0,0.006341101869389772,0.0064555174500706075,0,0,0,0.020815110299418467,0.003151865358777238,0,0,0.003339541455269411,0.0012646653683560539,0.01620543670538039,0.045878167089355625,0.023689468862487104,0.00006956473346272374,0.00018854430791235942,0,0,0,0.049137644133826666,0,0.003680286050669341,0,0.008765075590283675,0.008537200285152922,0.05909334476476262,0,"cluster_1",0.14645241212834587
"Cabo Verde",0,0,0,0,0,0,0,0,0,0,0.00004086851431273755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cluster_1",0.18697350724439663
"Cambodia",0,0.006430940384658576,0.010130601433195044,0.0007632013201320132,0,0,0,0,0.0009431543476668376,0.01051242982339527,0.011443184007566512,0.004868664798366029,0.006194637497763967,0.0007386797330903898,0.0058646583998788115,0.008779069362995736,0.0038489044925557507,0.0058374796415798695,0,0,0,0.0017837489088769972,0,0.0017586112643950842,0,0,0,0,"cluster_1",0.1716830871428627
"Cameroon",0.004492110730529507,0,0,0.00008250825082508251,0,0.00037116244543028334,0,0,0.006757746685224525,0,0.0003503015512520361,0.0001721844867714815,0,0.00017235860438775762,0,0.00042434487412261484,0,0,0,0,0,0,0.00006104739894475211,0,0.005078987599796161,0.0021038721680315758,0.00010716964955524597,0,"cluster_1",0.18301577754292747
"Canada",0.02053736874613959,0.012510013251181002,0.01905956442799379,0.006662541254125413,0.0023566535519562223,0.006751621626398487,0.01128466381506224,0.024482518259604603,0.0113544795253095,0.025616378120238474,0.009458141883804975,0.025940483541538027,0.013277062615528332,0.005958683180262478,0.007105397938352557,0.0004104319274300701,0.0005526298680189845,0.0015783022616735602,0.013668803677271078,0.031758908719427915,0.005031224917288229,0.006319025389957873,0.06965508219596216,0.008937458419931616,0.007881773399014778,0.003060177698955019,0.03504447540456543,0,"cluster_1",0.1112237823146265
"Canton and Enderbury Islands",0.000042113538098714134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cluster_1",0.18697305761723274
"Central African Republic",0,0,0,0,0,0,0.003335415965780747,0,0.0009797817009742876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cluster_1",0.1861593215417742
"Chad",0,0,0,0,0,0,0,0,0.005063731594754962,0,0,0,0,0,0,0.000020869420038817123,0,0,0,0,0,0,0,0,0,0,0,0,"cluster_1",0.1855024621527959
"Chile",0,0,0,0,0,0.00220046306933668,0,0,0,0,0.00008757538781300903,0.0006828005509903577,0,0,0,0,0,0,0,0.0009614806802475812,0,0,0,0,0,0,0,0,"cluster_1",0.18621129449395235
"China, Hong Kong SAR",0.007355831321242069,0.0061539382959130955,0.042566068186403065,0.0012995049504950494,0.0020570789478939907,0.003225578394810796,0.0008410631037631567,0.003444827203022558,0.050005494102996116,0.044841444334229826,0,0.004589607181874318,0.009739162697019285,0.004647526654027036,0.0027411687477908345,0.001989551377033899,0.006358494246147845,0.000005596816530757306,0,0.012409110029445345,0,0.0040229230710842915,0.0012819953778397941,0.007447022480312321,0,0,0,0,"cluster_1",0.13632822622953525
"China, Macao SAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033587612433109417,0,0,0,0,0,0,"cluster_1",0.18599512020070966
"China, Taiwan Province of",0.1683558874726262,0.0015497143883868745,0.018585925919428828,0.01742986798679868,0.00001997164027081544,0.00401208929107973,0.008367376363723747,0.0049753002858903515,0.0023441506116768,0.011841822699894672,0.01323556027813943,0.0058542725502303715,0.005167718982091866,0.001662029399453377,0.010026906735340157,0.005335615056590911,0.008328457187439048,0.005887850990356686,0.06096528365791702,0.0028243494982272696,0.06800963176132026,0.0016319404911002316,0.007534993241180832,0.004249547454139441,0.009733310684559198,0.033644567315215694,0.09208016289786733,0,"cluster_1",0.08626656542696665
"China, mainland",0,0.23098979584197404,0.45971002797975635,0.03211633663366337,0.004094186255517165,0.0559748316513194,0.14752727447493633,0.24745678812797384,0.5246227382609332,0.6738487968994468,0.39311423917422245,0.32835581627321525,0.1948826331515798,0.20189963804693078,0.2903474792067923,0.148158969328909,0.34318314803978933,0.10343476630492576,0,0,0,0.0014421799688792744,0.17424671870230674,0.21155938794139337,0,0,0,0,"cluster_0",-0.7748351744184865
"Colombia",0,0,0.0005876625939602319,0,0,0.007944643772424398,0.00017301869563127794,0.004980351352170444,0,0.007567313296996595,0.005347937015781084,0.0002968698047784164,0,0,0.000865632236144474,0,0,0,0,0,0,0,0.0013081585488161165,0.0005415078673357297,0,0,0,0,"cluster_1",0.18069409507114956
"Comoros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001156781443422871,0,0.002315078371095677,0,0,0,0,0,0,"cluster_1",0.18605025013716736
"Congo",0.0007861193778426638,0.004491925763440216,0.00022804817079053775,0.00035066006600660066,0.0065506980088274646,0.004418600540836706,0,0.0002171958500439443,0.031142407149659365,0.0186626307662416,0.011881060946631558,0.000011874792191136656,0,0.0037241769876640487,0.022867118238149853,0.018539001467815876,0.052434822183213055,0.019745568720511773,0.00025704608685133665,0.00009013881377321073,0.003876196628883538,0.12463471099472466,0.013875201674442943,0.00021660314693429188,0,0.0001564863596056544,0,0,"cluster_1",0.10895604193183515
"Cook Islands",0,0,0,0.0038778877887788777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cluster_1",0.18603739636343075
"Costa Rica",0.0011370655286652815,0,0,0.0027846534653465345,0.014099978031195701,0.005231623040350661,0.0017542173307060125,0.0029397205750133857,0.0089370742070178,0.006350407510047142,0.0011793485558818549,0,0,0,0,0,0,0,0,0,0,0.008823864283274507,0.004630881262809052,0,0,0,0,0,"cluster_1",0.1731153726201504
"Croatia",0.010065135605592678,0,0,0.02343234323432343,0.03053663797407681,0.015500450697255166,0.013048493295525545,0,0,0.0005317571505997607,0,0,0,0.0009972176396720262,0,0.019172040542326664,0.005519797152330798,0.000878700195328897,0,0.0371972838170783,0,0.08372234240388629,0.02040727336153142,0.0002836469781282394,0,0,0,0,"cluster_1",0.12656668280040279
"Cuba",0.001361671065191757,0,0,0,0,0,0,0,0,0,0.0008582388005674885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cluster_1",0.18657635659097507
"Cyprus",0,0.0001721904875985416,0,0,0,0,0,0,0,0,0,0,0.005161093701345595,0,0,0.01066427363983555,0,0,0,0,0,0,0,0.001387291583936298,0.000016986580601324952,0,0,0,"cluster_1",0.18418043374201987
"Czechia",0.1561429614239991,0.01924041535340226,0.06823902956732246,0.02040016501650165,0.03035689321163947,0.01905300553208788,0.009698659105108857,0.01210235480709978,0.007819939931140576,0.020073832435140968,0.02247768287200565,0.037714339999050016,0.009480776747914694,0.006383424026789452,0.015025932899074494,0.05128312150871994,0.028944802028476692,0.07931808387389254,0,0.09000360555255092,0,0.06546738016623022,0.033715606331487374,0.05087595344063785,0,0,0,0,"cluster_1",0.020981456722461503
"Czechoslovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05648965767509375,0,0,0,0,0,0,0,0.0012646018647519022,0,"cluster_1",0.17666329589290738
"Côte d'Ivoire",0,0,0,0,0,0,0.0008602874032777432,0.00008586812676155938,0.019101164749835177,0,0,0,0,0.00002462265776967966,0,0,0,0,0.00025704608685133665,0,0,0.00018976052222095715,0,0,0.0009342619330728724,0.0006085580651331003,0.00019290536919944272,0,"cluster_1",0.180934876182914
"Democratic People's Republic of Korea",0,0,0,0,0,0,0.005113663670879992,0.016390710078897655,0,0.01655605436194255,0.021654474226563365,0.0005106160642188762,0.0003378893180598528,0,0,0,0,0,0,0,0,0,0,0.001387291583936298,0,0,0,0,"cluster_1",0.17413960033028328
"Democratic Republic of the Congo",0.00046324891908585547,0.0009507909532615123,0.0027892045504381156,0,0.011643466277885402,0.000008837201081673412,0.007420579612630365,0.0008233238036549517,0.023450662955094865,0.000040904396199981596,0.0006772496657539365,0.00016624709067591318,0.00041076740626884065,0.014890552286213775,0.004854754124376925,0.0034921496198287317,0.010317924712307393,0.05507267466265189,0.015498367001330593,0.0029144883120004804,0.018656643370333393,0.0001138563133325743,0.059582261370078056,0.002537351149801705,0.08320027178528962,0.07005372698346461,0.20898081663272963,0,"cluster_1",0.0902116955811321
"Denmark",0.03567016676961087,0.02575370771039057,0.04163633333625703,0.039335808580858084,0.03393181682011544,0.28011276268580215,0.024986783294083725,0.05848629645718211,0.04425499963372646,0.03680373048093344,0.02823430503091411,0.026546097943285996,0.019776463027620796,0.04686922906458523,0.039725306037063486,0.05043443176047471,0.024634289057928613,0.036049095274607805,0.07422583766783598,0.040847905774893334,0.06924296705232866,0.07210899844396372,0.017852003662843938,0.04121648453092526,0.03844063190079837,0.04359014483681951,0.061558246704533276,0,"cluster_1",-0.07110829631693907
"Djibouti",0,0,0,0,0,0,0,0,0.00347959856420775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cluster_1",0.1859672530338429
"Dominica",0,0,0,0.0009488448844884489,0,0.002571625514766963,0,0,0,0,0.00021018093075122167,0.00177528143257493,0,0,0,0.01919290996236548,0,0,0,0,0,0,0.001691885056468844,0,0,0,0,0,"cluster_1",0.18249249761351508
"Dominican Republic",0.0010107249143691392,0.03606267733748587,0,0.0005569306930693069,0,0,0.0007112990820396983,0.002353796886522745,0.0041388909237418505,0.0012680362821994294,0.0005254523268780542,0,0.03082080603165559,0.006161820106862335,0.05030766012392968,0.03717539356247957,0.01637734867693908,0,0,0,0,0.004762989107746024,0,0.011691412716667612,0,0,0,0,"cluster_1",0.15144549780954225
"Ecuador",0.0002947947666909989,0,0,0.0007219471947194719,0.0006990074094785405,0,0,0.004359070199719161,0.00216101384513955,0.00035791346674983893,0.000636381151441199,0,0,0,0,0,0,0,0,0.001487290427257977,0,0,0.001613395543539877,0,0,0,0,0,"cluster_1",0.1842073056561186
"Egypt",0.09965466898759054,0.3491723626780861,0.49769759058336477,0.9935849834983498,0.45481416388728,0.17997843722936072,0.35148748017494114,0.7422036791966785,0.5765511684125705,0.08633895427911115,0.3500621785253472,0.1538319954400798,0.4354002000834785,0.19555314800679585,0.29137181068622997,0.18532740641804232,0.04505558806319485,0.2648245677858434,0.05509858473448651,0.08545159545700377,0.010610598852802413,0.43643022505597934,0.22040727336153143,0.2527965013434552,0.06995073891625615,0.027159077078225794,0.024799056907083915,0,"cluster_2",-1.3481241823773868
"Eritrea",0,0,0,0,0,0,0,0,0.002325836935023075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cluster_1",0.18630332994294396
"Estonia",0,0,0,0.0001443894389438944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cluster_1",0.18694569090215885
"Eswatini",0,0.001152927612616322,0.00781503539132189,0,0,0.0006716272822071793,0.04980535396741482,0.018734404832860218,0.040070324518350305,0.01579932303224289,0.0012318937885696603,0.000011874792191136656,0.00017888258014933382,0.0007263684042055499,0.00772576770758943,0.0017391183365680935,0,0,0.005745736059029878,0,0,0,0.025875376095582787,0,0,0.0021908090344791614,0,0,"cluster_1",0.1485181635250615
"Ethiopia",0,0,0.0009209637666540948,0,0,0,0.000014418224635939829,0,0,0,0.000017515077562601806,0.0002968698047784164,0,0.000030778322212099574,0.000007213601967870617,0,0,0,0,0.0005408328826392644,0,0,0,0.0000773582667622471,0,0,0,0,"cluster_1",0.1865912325047357
"Ethiopia PDR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016986580601324953,0,0,0,"cluster_1",0.18696164254284675
"Fiji",0.0007440058397439497,0.001115494897920987,0.0003771565901535817,0.0018976897689768977,0.0018373909049150207,0.0007865108962689338,0.0004998317873792474,0.0009950600571780703,0.0018405245036993627,0.0005726615467997423,0.000449553657440113,0.0006946753431814944,0.0007354061628361501,0.00047398616206633347,0.0007285737987549323,0,0.000786684870944672,0.0005652784696064878,0,0.0009164112733609758,0,0.00185965311776538,0.00040988967862904985,0.0004589923827893328,0,0,0,0,"cluster_1",0.18296873485454243
"Finland",0.012999045426469761,0,0.01712115497627422,0.004311056105610561,0.0028359729184557927,0.0015376729882111738,0.002994184649396838,0.007808948469021811,0.004257929821991063,0.009408011125995767,0.01734576514616332,0,0,0,0.0017601188801604304,0.0014817288227560157,0.07921461543462714,0,0.009616547719850007,0.010185685956372814,0.01358626495174331,0.008083798246612775,0.002223869532987398,0,0.018787158145065395,0.007789543233703685,0.018797556531990143,0,"cluster_1",0.14224996501371262
